ev_18,ev_22,ev_25,ev_33
100.28340864732166,183.11699374460053,275.2309162145317,398.1932888108056
291.98173995118594,290.46107948345764,232.6329081989308,122.24386093853866
202.31632716593595,399.99341372884567,227.4692872538774,154.32817574946202
185.9633854911164,306.328017037081,522.5220686356024,235.2024606880615
248.8539318494297,191.44932094549262,413.6650919897632,194.7252800097929
179.64862174729132,256.9870423126911,235.89848849725408,401.5172364530067
208.37481246414472,158.97667505512175,148.4796021648277,193.28483326364864
99.4850142384644,162.1642583023036,258.68624573635134,172.94029039924766
207.32271611895644,233.53497811677863,187.81933881139219,487.52033907217384
103.39875020051372,166.59511517553332,404.39020880322096,126.67653179930818
151.82901033166885,78.90555905551714,93.66242785031784,155.57295689362397
316.20458525498896,183.10404690364555,138.55961479282237,154.49322665144007
381.69929124496764,239.9168171840997,149.94221108751046,276.61418003607804
280.41155541986626,423.1783372401807,339.85035705029054,278.0317610349652
238.91273383588467,162.45435669905174,218.90898854238532,237.97730376518643
203.1004278278731,115.96395309510427,161.2199633288617,194.42813954566049
312.55780320323413,91.2706539672229,169.29223126575636,177.66142451856908
139.16358362435528,212.5280576601941,98.9959188489931,196.91177319184067
278.19112632006204,132.22348658615817,236.91186736053112,130.70542761359175
125.98299678119116,211.63815225159462,123.58263254009947,356.25894177724814
283.3822477929727,276.8863531534584,208.71863326793016,185.9433529338537
154.0448270469127,106.63083670143182,349.28298395334514,273.18930598397174
128.5649565137624,204.4607150614699,161.88660879171297,231.21950302605177
189.96149219888324,115.56624035077436,288.2792529318259,290.1467935930634
154.69825095106307,100.98344864494808,301.03754807997655,282.28966965075176
423.45966094758614,258.89291621740034,187.35573779117325,263.98745723026724
260.32636132775065,140.32959667586024,134.3638186248952,62.77089440867913
322.6829356570523,226.11579605295606,188.52309230903168,210.06183783384878
128.94809566073306,313.9223672325045,187.80903491593148,157.0177810188474
227.75858508552864,174.40289290087242,167.23778561790493,216.7869371064989
141.05222776855973,59.815824836699875,178.30070142130677,172.74388835714583
126.21538345603459,137.33787391879963,104.70097187962878,244.10151605561504
90.50664195508955,365.36910341449675,229.91567149882147,217.86326387668583
111.19238298614349,154.42724483598684,211.9315499755303,357.36839838575486
216.48762377291402,110.10455654906984,277.96022385615044,322.37587914878856
186.71562328949642,211.0655553105228,212.85144284664284,426.8736048308349
191.88490778878236,268.2080821735007,185.3334690755991,209.65202248048615
198.31210583025606,161.75658384924034,109.53408982832107,105.84028657454884
254.34887523210392,72.11391265240464,122.54403798291014,247.75323831456717
183.99778827819776,194.37205693643722,374.1201816120683,183.63964829749713
170.10995561630423,183.22046879756502,182.79534927837736,220.83955066224456
282.31774613593245,293.4401076600568,194.59443025134718,227.83591401347184
251.7051379056481,301.2354747008417,207.89965091850235,365.86722952243747
334.9354424166908,126.41908207890008,226.38589726331784,159.4096460897414
185.89171464592258,225.87235260180378,192.41570087611865,171.5278120384035
207.9269501267871,86.14666303654518,91.77355245972329,197.95656946284453
108.98794281012398,369.72862876157336,136.69132712842264,201.85175786513142
231.36581835112023,121.26345669913337,249.02702063952017,140.0531265489605
271.57006991767196,312.361121296761,147.71478810256906,168.63444707600726
145.48781956257224,89.97141151480841,259.4384183229254,184.3918745749996
287.4881169298695,261.22157746443906,194.98217569382211,39.847230770102264
253.53664462516707,216.52530615084302,184.30259732869519,121.43318262311354
289.9713979043936,238.0488679259112,199.00772652244126,271.02204539953345
54.621640140141,171.9629143138207,272.1078463745737,259.6188043570545
441.57812334146706,186.98937355179888,173.21251714160263,298.79452975055284
240.41783676074715,290.59662478297764,408.28990973885647,100.02389166479452
